intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 364,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 365,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 366,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 367,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 368,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 369,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 370,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 371,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 372,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 373,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 374,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 375,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 376,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 377,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 378,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 379,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 380,1000,1,2,3,4,1,1,TRUE,FALSE
