intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 337,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 338,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 339,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 340,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 341,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 342,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 343,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 344,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 345,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 346,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 347,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 348,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 349,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 350,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 351,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 352,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 353,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 354,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 355,500,1,2,3,4,3,3,TRUE,FALSE
