intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 1,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 2,250,1,2,3,4,2,2,TRUE,FALSE
intrebare 3,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 4,250,1,2,3,4,4,4,TRUE,FALSE
intrebare 5,250,1,2,3,4,1,5,TRUE,FALSE
intrebare 6,250,1,2,3,4,2,6,TRUE,FALSE
intrebare 7,250,1,2,3,4,3,7,TRUE,FALSE
intrebare 8,250,1,2,3,4,4,8,TRUE,FALSE
intrebare 9,250,1,2,3,4,1,9,TRUE,FALSE
intrebare 10,250,1,2,3,4,2,10,TRUE,FALSE
intrebare 11,250,1,2,3,4,3,11,TRUE,FALSE
intrebare 12,250,1,2,3,4,4,12,TRUE,FALSE
intrebare 13,250,1,2,3,4,1,13,TRUE,FALSE
intrebare 14,250,1,2,3,4,2,14,TRUE,FALSE
intrebare 15,250,1,2,3,4,3,15,TRUE,FALSE
intrebare 16,250,1,2,3,4,4,16,TRUE,FALSE
intrebare 17,250,1,2,3,4,1,17,TRUE,FALSE
intrebare 18,250,1,2,3,4,2,18,TRUE,FALSE
intrebare 19,250,1,2,3,4,3,19,TRUE,FALSE
intrebare 20,250,1,2,3,4,4,20,TRUE,FALSE
intrebare 21,250,1,2,3,4,1,21,TRUE,FALSE
intrebare 22,250,1,2,3,4,2,22,TRUE,FALSE
intrebare 23,250,1,2,3,4,3,23,TRUE,FALSE
intrebare 24,250,1,2,3,4,4,24,TRUE,FALSE
intrebare 25,250,1,2,3,4,1,25,TRUE,FALSE
intrebare 26,250,1,2,3,4,2,26,TRUE,FALSE
intrebare 27,250,1,2,3,4,3,27,TRUE,FALSE
intrebare 28,250,1,2,3,4,4,28,TRUE,FALSE
intrebare 29,250,1,2,3,4,1,29,TRUE,FALSE
