intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 429,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 430,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 431,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 432,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 433,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 434,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 435,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 436,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 437,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 438,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 439,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 440,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 441,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 442,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 443,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 444,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 445,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 446,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 447,1000,1,2,3,4,1,1,TRUE,FALSE
