intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 224,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 225,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 226,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 227,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 228,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 229,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 230,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 231,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 232,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 233,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 234,1000,1,2,3,4,1,1,TRUE,FALSE
