intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 130,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 131,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 132,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 133,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 134,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 135,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 136,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 137,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 138,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 139,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 140,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 141,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 142,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 143,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 144,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 145,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 146,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 147,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 148,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 149,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 150,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 151,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 152,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 153,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 154,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 155,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 156,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 157,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 158,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 159,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 160,250,1,2,3,4,1,1,TRUE,FALSE
