intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 401,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 402,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 403,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 404,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 405,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 406,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 407,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 408,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 409,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 410,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 411,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 412,750,1,2,3,4,3,3,TRUE,FALSE
