intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 389,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 390,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 391,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 392,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 393,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 394,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 395,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 396,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 397,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 398,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 399,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 400,500,1,2,3,4,3,3,TRUE,FALSE
