intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 318,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 319,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 320,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 321,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 322,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 323,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 324,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 325,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 326,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 327,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 328,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 329,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 330,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 331,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 332,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 333,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 334,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 335,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 336,1000,1,2,3,4,1,1,TRUE,FALSE
