intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 63,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 64,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 65,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 66,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 67,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 68,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 69,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 70,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 71,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 72,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 73,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 74,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 75,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 76,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 77,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 78,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 79,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 80,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 81,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 82,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 83,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 84,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 85,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 86,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 87,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 88,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 89,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 90,250,1,2,3,4,3,3,TRUE,FALSE
