intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 283,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 284,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 285,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 286,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 287,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 288,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 289,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 290,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 291,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 292,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 293,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 294,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 295,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 296,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 297,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 298,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 299,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 300,500,1,2,3,4,1,1,TRUE,FALSE
