intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 249,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 750,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 251,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 252,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 253,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 254,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 255,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 256,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 257,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 258,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 259,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 260,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 261,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 262,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 263,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 264,750,1,2,3,4,1,1,TRUE,FALSE
