intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 235,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 236,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 237,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 238,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 239,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 240,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 241,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 242,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 243,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 244,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 245,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 246,500,1,2,3,4,1,1,TRUE,FALSE
intrebare 247,500,1,2,3,4,3,3,TRUE,FALSE
intrebare 248,500,1,2,3,4,1,1,TRUE,FALSE
