intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 91,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 92,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 93,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 94,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 95,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 96,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 97,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 98,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 99,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 100,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 101,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 102,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 103,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 104,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 105,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 106,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 107,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 108,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 109,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 110,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 111,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 112,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 113,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 114,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 115,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 116,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 117,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 118,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 119,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 120,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 121,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 122,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 123,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 124,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 125,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 126,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 127,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 128,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 129,250,1,2,3,4,3,3,TRUE,FALSE
